BTC,ETH,ADA,BNB,XMR
35013.63,1195.79,0.31103,41.9044,139.28
35321.91,1195.05,0.30851,41.7822,141.45
34935.07,1165.27,0.29257,41.1955,137.98
36149.42,1201.55,0.30901,41.6941,137.26
35953.58,1183.51,0.30714,41.5138,137.75
36088.52,1180.96,0.33133,41.8937,139.5
36851.55,1211.47,0.33336,42.333,142.53
37252.91,1203.02,0.348,41.9283,140.69
36979.5,1203.4,0.34325,41.8109,142.66
37054.37,1199.4,0.34108,41.8955,141.7
37566.96,1217.11,0.33961,42.2163,141.82
37571.4,1214.62,0.33173,42.4684,142.2
37487.11,1211.7,0.33492,42.9807,142.74
37227.62,1202.04,0.33897,43.944,142.74
36925.36,1188.57,0.32891,43.2,142.11
37267.6,1197.27,0.33029,43.3802,144.0
37531.26,1206.55,0.33115,43.5255,148.0
37092.57,1184.79,0.308,43.5752,146.79
37874.47,1202.92,0.3123,43.9773,150.18
37996.49,1228.94,0.31799,43.9606,151.29
38236.43,1220.36,0.31918,43.8208,151.28
38510.39,1225.98,0.31629,44.3222,150.0
39057.04,1252.55,0.31931,44.4308,150.07
39179.96,1265.65,0.32269,44.1944,147.59
39774.56,1271.94,0.32008,43.9411,147.08
38924.0,1223.46,0.29917,42.2649,143.6
39074.27,1234.82,0.31146,43.2555,144.94
39134.55,1243.65,0.31011,43.5086,146.31
39734.86,1255.75,0.31255,43.6512,148.2
39696.1,1246.14,0.30357,43.4774,144.97
39488.0,1225.91,0.29966,43.6632,143.16
38848.73,1184.3,0.29244,42.6428,140.26
38718.51,1185.64,0.28874,42.6581,138.52
37207.84,1112.2,0.27844,41.1704,141.1
38389.28,1151.6,0.2827,41.572,140.71
38719.25,1170.04,0.2845,41.809,145.2
38006.62,1148.86,0.27757,41.428,142.22
38554.05,1175.69,0.29312,41.8359,145.39
38948.6,1208.51,0.315,42.5267,147.39
38675.11,1200.73,0.31122,42.6388,146.9
39400.0,1222.5,0.30855,42.901,147.37
40759.35,1252.38,0.31523,43.3445,150.04
41330.89,1256.63,0.30879,43.1155,146.83
41367.09,1251.28,0.30386,42.7142,144.74
41367.47,1251.45,0.30937,42.8863,146.24
41498.76,1258.5,0.30962,43.0484,146.05
40874.6,1218.14,0.29947,42.4369,145.24
41341.08,1228.24,0.30155,42.5015,146.31
41036.22,1216.28,0.29699,42.2857,144.13
39966.78,1183.01,0.29173,41.6637,141.95
40363.52,1184.67,0.29124,41.7964,142.05
39071.98,1146.17,0.28489,41.1547,137.29
40080.0,1192.96,0.28931,41.7804,139.46
40699.17,1217.7,0.29946,42.3198,142.71
40610.16,1217.89,0.30427,42.37,142.36
40318.15,1198.32,0.30584,42.3369,141.91
40221.28,1198.76,0.30311,42.5047,140.99
39999.99,1200.32,0.30402,42.5442,141.29
40245.84,1227.47,0.30807,42.9072,142.93
40245.08,1220.2,0.30556,42.7702,142.32
39336.41,1186.49,0.29816,41.9898,140.48
39012.2,1180.82,0.29891,41.6905,140.91
39672.76,1197.38,0.30387,41.921,141.79
40210.38,1209.38,0.30535,42.0544,144.65
40384.95,1213.01,0.30933,42.1699,144.97
40431.01,1220.03,0.30942,42.2159,146.44
40621.39,1222.13,0.3101,42.7811,145.18
40928.87,1225.42,0.31068,42.8922,141.97
41110.06,1223.2,0.32241,43.0816,144.11
40883.32,1224.82,0.32248,42.8101,143.29
40603.07,1222.2,0.32327,42.9379,145.08
40083.07,1203.26,0.31774,42.7432,144.33
40509.06,1224.9,0.32461,43.2215,145.64
40734.39,1227.17,0.33397,43.8447,146.45
40760.9,1232.08,0.33829,43.8373,147.9
40733.63,1274.95,0.33533,44.0491,148.07
40856.19,1292.56,0.33536,43.9927,147.09
40412.48,1290.95,0.3305,43.77,146.52
40239.25,1280.39,0.33186,43.9642,147.73
40683.84,1293.05,0.33201,44.6963,150.44
41248.32,1326.87,0.33265,44.2376,150.18
41070.18,1342.07,0.33555,44.4164,150.26
40450.02,1315.1,0.32704,44.0323,149.59
40450.73,1322.52,0.32836,44.2566,156.95
40553.39,1318.95,0.33593,44.1198,157.34
41020.69,1327.96,0.33848,44.4197,157.53
41089.0,1348.42,0.33795,44.66,164.42
40904.7,1332.41,0.33344,44.3743,161.78
40855.06,1334.33,0.33107,44.3613,160.87
40511.38,1321.9,0.32056,43.93,158.7
39250.0,1260.61,0.30807,42.6344,152.78
39604.9,1292.4,0.31599,43.25,156.66
39860.14,1311.84,0.3195,43.5297,165.64
39483.09,1297.83,0.31052,42.8987,158.71
39721.63,1304.88,0.31602,43.5949,164.0
39286.57,1299.17,0.31007,43.2094,175.49
38614.23,1302.09,0.30735,42.7711,175.28
38108.75,1283.62,0.30272,42.4232,171.75
37452.53,1262.84,0.29983,42.0886,164.49
37728.9,1258.09,0.30319,41.7509,166.61
38047.13,1270.69,0.30845,42.2287,176.99
38446.7,1273.65,0.30342,42.4489,176.63
38162.04,1254.59,0.30179,42.4485,184.75
37196.92,1219.19,0.29494,41.6814,178.12
37233.18,1207.73,0.29612,41.4105,174.92
36334.6,1185.6,0.28935,40.7433,164.48
35401.15,1104.22,0.27662,39.3493,151.94
35527.4,1113.33,0.2771,39.86,155.38
34870.86,1092.89,0.2729,39.269,153.94
32812.67,1025.61,0.26027,37.937,144.64
34329.21,1070.12,0.27395,39.2,151.61
35412.28,1108.11,0.27811,39.8242,158.45
35743.92,1134.87,0.2826,40.1489,169.07
35362.19,1111.82,0.28219,39.4844,168.17
34149.38,1065.9,0.26664,38.4187,157.21
34237.17,1072.14,0.26857,38.547,157.11
32779.32,1024.75,0.26,37.5052,153.82
33252.93,1037.13,0.26268,37.6951,152.61
31518.58,974.84,0.25079,36.3468,147.8
31705.44,961.17,0.24199,35.8163,148.24
32805.39,996.62,0.25525,36.7962,151.5
32528.64,992.29,0.25522,37.1338,151.42
32231.94,983.84,0.25158,36.4859,151.6
33398.36,1018.96,0.25738,37.097,158.09
33958.69,1031.83,0.25939,37.486,161.62
34364.74,1058.08,0.26885,37.6676,161.32
35427.77,1087.2,0.27526,38.1628,157.87
34937.3,1062.21,0.27205,37.8403,162.59
34298.78,1055.7,0.26681,37.6912,162.53
34382.96,1068.6,0.27231,38.1817,166.29
34993.56,1088.93,0.28603,38.5842,171.7
35299.17,1096.08,0.29103,38.4763,170.0
35899.16,1129.77,0.29435,39.1499,169.25
36009.91,1138.87,0.30388,39.4583,166.43
36440.32,1140.0,0.30767,39.7176,166.98
35799.28,1117.02,0.29373,38.8633,162.39
35932.54,1115.38,0.29508,38.9,164.62
35067.47,1084.0,0.28463,38.5716,160.34
35396.15,1098.56,0.28758,39.0076,161.98
35003.81,1086.45,0.28761,38.814,162.76
33231.16,1025.28,0.27224,37.5968,156.84
33400.73,1034.73,0.27921,37.7206,159.02
33821.9,1053.05,0.28502,38.2884,159.56
34979.92,1106.04,0.29636,39.0068,163.55
34998.99,1117.03,0.2949,38.9489,163.13
35026.09,1103.78,0.29157,38.8291,165.94
34655.94,1082.05,0.2878,38.6414,160.8
34265.57,1079.89,0.28697,38.51,159.96
34713.93,1077.6,0.29088,38.6734,161.08
33719.92,1052.2,0.28173,38.0816,156.65
34029.14,1049.35,0.28863,38.25,159.06
32500.0,989.72,0.27182,37.0723,152.4
33094.54,1030.42,0.28037,37.7205,156.65
33006.55,1030.25,0.28122,37.5812,156.87
33789.28,1045.81,0.28326,38.0557,158.09
33161.15,1023.12,0.27801,37.7729,157.35
33297.15,1035.54,0.28125,37.8623,155.74
33761.5,1043.66,0.28502,37.5241,158.5
34969.55,1075.94,0.29213,38.2729,161.0
34500.69,1059.13,0.28785,38.1224,160.3
34331.52,1059.72,0.28867,38.0846,160.33
34901.35,1078.94,0.29438,38.4204,162.76
34367.57,1060.85,0.29051,38.1996,161.43
34240.68,1056.71,0.29043,38.2564,161.13
34542.67,1066.18,0.29052,38.6298,163.5
34246.05,1054.94,0.286,38.4528,164.18
34647.07,1070.38,0.28976,38.7884,165.55
34756.83,1072.43,0.29043,38.9319,165.49
34792.56,1073.42,0.29359,39.15,165.06
35701.81,1102.91,0.29919,39.4754,165.61
35986.12,1101.89,0.29928,39.4319,165.53
36213.55,1110.6,0.30425,39.8718,166.64
37286.44,1126.65,0.30947,40.1145,169.71
37215.79,1118.1,0.30761,40.2176,169.46
37383.06,1129.88,0.31254,40.1025,171.43
37776.92,1134.26,0.31535,40.5694,167.3
37461.17,1115.37,0.30735,39.8101,166.6
37433.01,1113.19,0.3092,39.9091,164.62
37047.09,1096.06,0.30446,39.8461,163.04
37508.08,1109.08,0.30919,40.4746,165.18
37528.55,1109.73,0.30546,40.2353,163.46
37843.15,1121.48,0.31011,40.7986,166.08
38201.25,1147.85,0.31013,40.6805,165.83
38380.41,1157.2,0.31088,40.5107,168.87
37945.9,1146.17,0.30791,40.5587,165.5
38483.91,1168.56,0.31463,41.06,168.8
38362.07,1166.44,0.31208,41.1323,168.79
38255.77,1168.87,0.31405,41.2,165.43
38976.42,1193.37,0.3142,41.6297,164.74
39591.57,1208.43,0.31816,41.6254,166.92
39530.61,1212.52,0.31683,41.5812,168.09
39248.16,1223.79,0.31792,41.5315,166.92
39398.7,1218.27,0.31547,41.5552,166.6
39306.22,1208.71,0.31084,41.2732,166.35
39843.28,1230.3,0.31636,41.4905,166.44
39305.0,1206.53,0.3085,41.06,166.6
38729.68,1186.51,0.30325,40.7897,164.0
38935.13,1198.74,0.30744,41.1225,163.84
39113.72,1230.35,0.31152,41.8321,163.84
39418.68,1235.91,0.31329,42.0588,161.49
39128.01,1229.2,0.3224,41.9151,161.65
39220.43,1238.22,0.32397,41.8893,165.39
38652.73,1217.52,0.31729,41.3507,163.83
38395.88,1206.89,0.31342,41.2318,162.2
37780.0,1184.61,0.30874,40.7566,162.34
38004.94,1199.26,0.31297,41.436,163.16
38440.0,1239.78,0.32412,41.7415,165.39
38246.47,1216.6,0.31699,41.449,165.21
38646.14,1231.16,0.32097,41.6475,166.61
38410.0,1232.72,0.31962,41.5732,164.98
38074.97,1224.86,0.31833,41.1634,162.43
37738.62,1220.61,0.31431,40.9995,160.33
37635.89,1220.37,0.31888,41.3156,162.53
36885.59,1194.81,0.3092,40.8016,157.45
35541.44,1139.46,0.29604,39.77,152.13
36132.48,1164.76,0.30284,40.3996,155.98
35935.73,1154.12,0.30092,40.4624,156.44
35408.98,1138.87,0.29999,40.3705,156.73
35200.0,1133.27,0.29959,40.1117,153.87
35577.83,1135.82,0.29998,40.347,155.44
36238.85,1158.67,0.30235,40.7601,156.34
36593.05,1162.65,0.30358,40.9513,157.03
36734.62,1168.37,0.30196,40.8957,157.34
37165.14,1188.78,0.30736,41.3447,157.78
37012.73,1178.58,0.30788,41.3239,157.1
36215.48,1163.27,0.30375,41.0153,155.97
36526.24,1179.01,0.30864,41.6428,157.34
36569.05,1181.05,0.30963,41.3174,157.8
35852.65,1164.15,0.30711,40.9693,156.19
36108.3,1173.27,0.31523,41.1815,156.97
36576.73,1182.75,0.31557,41.5656,158.63
37478.69,1215.6,0.31817,41.9358,159.95
37452.18,1215.14,0.33187,42.93,160.82
37415.35,1213.66,0.33711,43.026,161.09
37684.8,1219.01,0.35405,43.0897,160.69
37359.68,1217.82,0.35806,43.0709,159.12
37153.13,1231.28,0.35315,43.4044,158.47
37212.37,1238.41,0.35362,43.2739,158.01
37473.15,1276.63,0.35676,43.81,159.79
37231.12,1266.35,0.34719,43.1337,160.05
36878.3,1254.36,0.34918,42.9998,158.3
36505.89,1232.58,0.3424,42.248,156.79
36391.52,1253.1,0.35282,42.8567,157.53
36727.4,1274.13,0.35473,43.2592,157.94
35925.31,1234.86,0.34907,42.5078,155.07
36135.0,1232.49,0.3464,42.9897,155.45
36003.52,1227.88,0.35085,43.1128,155.57
36399.49,1235.82,0.37016,43.9336,156.65
36725.05,1250.74,0.3823,43.6257,157.92
36423.85,1245.51,0.37508,43.6142,156.83
36178.17,1241.39,0.37579,43.2468,155.89
35845.29,1223.21,0.3768,43.3012,155.36
35550.01,1215.51,0.36315,42.3239,154.76
35390.58,1213.17,0.36842,42.0972,155.79
34764.14,1182.35,0.35535,41.5465,153.64
34720.51,1196.11,0.35978,41.6428,153.71
34160.61,1179.99,0.35613,41.1758,150.77
34810.9,1202.26,0.36354,41.8061,152.47
35276.01,1219.78,0.37698,42.2136,154.07
35132.18,1213.25,0.369,41.7193,153.05
34846.76,1198.92,0.36279,41.4894,152.53
34749.99,1198.91,0.36526,41.6748,152.35
35727.95,1240.97,0.38569,43.45,154.61
35902.95,1238.91,0.37887,44.5445,154.55
35834.32,1232.0,0.37292,44.327,155.15
35665.02,1226.16,0.37914,44.1586,155.4
35619.14,1218.1,0.37157,45.5024,156.53
36056.78,1237.5,0.38509,46.65,162.19
36550.68,1261.21,0.38347,46.4417,163.09
36167.98,1245.35,0.38532,45.9502,161.52
35833.58,1232.24,0.38088,45.8571,159.67
35960.3,1242.56,0.39076,46.72,158.64
36115.4,1239.35,0.3885,46.3791,158.29
35751.66,1220.81,0.38573,45.8197,156.1
35092.85,1193.88,0.37213,45.1749,153.86
35124.05,1201.62,0.37387,45.2824,154.39
35336.53,1207.65,0.37762,46.2254,154.69
35187.75,1197.66,0.37285,45.3212,153.09
36087.95,1219.59,0.38173,46.0512,154.72
36228.04,1222.71,0.37816,46.0584,155.56
36565.75,1230.07,0.37689,46.0453,155.21
36204.29,1223.31,0.37028,45.5111,151.91
36429.72,1224.92,0.37183,44.7251,154.59
36972.1,1243.36,0.36744,44.4216,156.38
36766.93,1243.92,0.3702,44.5169,153.12
36457.84,1237.14,0.37267,44.4794,152.71
36419.2,1240.67,0.3759,44.7686,154.93
